Dzielnice,LiczbaInterwencji
Wesoła,55
Rembertów,88
Wilanów,157
Ursus,162
Bemowo,177
Włochy,185
Ursynów,195
Wawer,294
Białołęka,295
Żoliborz,400
Targówek,431
Ochota,532
Praga-Północ,564
Mokotów,578
Bielany,623
Praga-Południe,838
Wola,900
Śródmieście,1446
