"jornada"	"FCBarcelona"	"AtleticoMadrid"	"RealMadrid"
10	21	19	14
11	24	20	17
12	24	23	20
13	25	24	20
14	28	25	23
15	31	28	26
16	34	31	29
17	37	34	30
18	40	35	30
19	43	38	33
20	46	41	36
21	49	44	39
22	50	44	42
23	51	44	45
24	54	47	45
