"Districts"	"Interventions"
"Srodmiescie"	1446
"Wola"	900
"Praga-Poludnie"	838
"Bielany"	623
"Mokotow"	578
"Praga-Polnoc"	564
"Ochota"	532
"Targowek"	431
"Zoliborz"	400
"Bialoleka"	295
"Wawer"	294
"Ursynow"	195
"Wlochy"	185
"Bemowo"	177
"Ursus"	162
"Wilanow"	157
"Rembertow"	88
"Wesola"	55
