"country"	"population"	"continent"	"birthRate"	"deathRate"
"Poland"	38217	"Europe"	10.8	10
"Portugal"	10608	"Europe"	8.7	9.1
"Qatar"	2169	"Asia"	11	1.3
"Romania"	21699	"Europe"	10.3	11.8
"Russian Federation"	142834	"Europe"	11.8	14.8
"Rwanda"	11777	"Africa"	35.2	6.4
"Saint Kitts and Nevis"	54	"Americas"	13.8	8.5
"Saint Lucia"	182	"Americas"	15.4	7
"Saint Vincent and the Grenadines"	109	"Americas"	16.3	6.5
"Samoa"	190	"Oceania"	26.2	5.2
"San Marino"	31	"Europe"	8.8	10.2
"Sao Tome and Principe"	193	"Africa"	33.9	6.5
"Saudi Arabia"	28829	"Asia"	19.4	3.2
"Senegal"	14133	"Africa"	37.7	7
"Serbia"	9511	"Europe"	9.7	11.9
"Seychelles"	93	"Africa"	16.6	6.7
"Sierra Leone"	6092	"Africa"	36.6	16.8
"Singapore"	5412	"Asia"	9.9	4.5
"Slovakia"	5450	"Europe"	10.7	9.4
"Slovenia"	2072	"Europe"	10	9.1
"Solomon Islands"	561	"Oceania"	30.8	5.4
"Somalia"	10496	"Africa"	43.8	12.7
"South Africa"	52776	"Africa"	20.9	11.1
"South Sudan"	11296	"Africa"	36.1	11.1
"Spain"	46927	"Europe"	10.4	8.2
"Sri Lanka"	21273	"Asia"	17.9	6.6
"Sudan"	37964	"Africa"	33.5	7.8
"Suriname"	539	"Americas"	17.7	4.6
"Swaziland"	1250	"Africa"	29.9	11.8
"Sweden"	9571	"Europe"	12	9.6
"Switzerland"	8078	"Europe"	10.4	7.7
"Syrian Arab Republic"	21898	"Asia"	24	3.5
"Tajikistan"	8208	"Asia"	33	6
"Thailand"	67010	"Asia"	10.2	7.6
"Timor-Leste"	1133	"Asia"	35.8	6
"Togo"	6817	"Africa"	36.4	9.6
"Tonga"	105	"Oceania"	25.5	6.7
"Trinidad and Tobago"	1341	"Americas"	14.5	9.6
"Tunisia"	10997	"Africa"	17.2	5.5
"Turkey"	74933	"Asia"	16.8	5.7
"Turkmenistan"	5240	"Asia"	21.3	8.8
"Tuvalu"	10	"Oceania"	23.6	8.7
"Uganda"	37579	"Africa"	43.2	9.2
"Ukraine"	45239	"Europe"	10.8	15.1
"United Arab Emirates"	9346	"Asia"	14.5	1.1
"United Kingdom"	63136	"Europe"	12.2	8.9
"United States"	320051	"Americas"	13.2	8.4
"Uruguay"	3407	"Americas"	14.5	9.1
"Uzbekistan"	28934	"Asia"	21.5	6.4
"Vanuatu"	253	"Oceania"	26.6	4.5
"Viet Nam"	91680	"Asia"	15.5	5.8
"Yemen"	24407	"Asia"	31.1	6.7
"Zambia"	14539	"Africa"	42.8	9.7
"Zimbabwe"	14150	"Africa"	31.3	9.8
