country,import,export
US,70.4,112.2
Germany,78.1,56.8
Netherlands,46.9,39
France,40.8,40.4
China,45.2,22.3
Ireland,21.8,34
Spain,31.3,16.1
Belgium,28.2,18.7
Italy,24,18.9
Switzerland,11.7,19

