"id","district","interventions"
"1","Bemowo",177
"2","Białołęka",295
"3","Bielany",623
"4","Mokotów",578
"5","Ochota",532
"6","Praga-Południe",838
"7","Praga-Północ",564
"8","Rembertów",88
"9","Śródmieście",1446
"10","Targówek",431
"11","Ursus",162
"12","Ursynów",195
"13","Wawer",294
"14","Wesoła",55
"15","Wilanów",157
"16","Włochy",185
"17","Wola",900
"18","Żoliborz",400
