Tabela,Data,Kurs średni,Zmiana
102/A/NBP/2019,2019-05-28,4.8641,-0.24
101/A/NBP/2019,2019-05-27,4.8759,-0.02
100/A/NBP/2019,2019-05-24,4.8768,-0.17
99/A/NBP/2019,2019-05-23,4.8852,-0.11
98/A/NBP/2019,2019-05-22,4.8906,-0.27
97/A/NBP/2019,2019-05-21,4.9038,-0.16
96/A/NBP/2019,2019-05-20,4.9117,-0.32
95/A/NBP/2019,2019-05-17,4.9273,0.33
94/A/NBP/2019,2019-05-16,4.9112,-1.11
93/A/NBP/2019,2019-05-15,4.9661,0.06
92/A/NBP/2019,2019-05-14,4.9631,-0.42
91/A/NBP/2019,2019-05-13,4.984,0.19
90/A/NBP/2019,2019-05-10,4.9745,-0.31
89/A/NBP/2019,2019-05-09,4.9898,-0.17
88/A/NBP/2019,2019-05-08,4.9984,-0.28
87/A/NBP/2019,2019-05-07,5.0126,-0.19
86/A/NBP/2019,2019-05-06,5.0219,0.76
85/A/NBP/2019,2019-05-02,4.984,0.33
84/A/NBP/2019,2019-04-30,4.9677,-0.23
83/A/NBP/2019,2019-04-29,4.9794,0
