Tabela,Data,Kurs średni,Zmiana
102/A/NBP/2019,2019-05-28,0.1208,0.17
101/A/NBP/2019,2019-05-27,0.1206,-0.08
100/A/NBP/2019,2019-05-24,0.1207,-0.25
99/A/NBP/2019,2019-05-23,0.121,0.17
98/A/NBP/2019,2019-05-22,0.1208,-0.17
97/A/NBP/2019,2019-05-21,0.121,0
96/A/NBP/2019,2019-05-20,0.121,-0.33
95/A/NBP/2019,2019-05-17,0.1214,0.25
94/A/NBP/2019,2019-05-16,0.1211,-0.57
93/A/NBP/2019,2019-05-15,0.1218,0.08
92/A/NBP/2019,2019-05-14,0.1217,0.58
91/A/NBP/2019,2019-05-13,0.121,-0.08
90/A/NBP/2019,2019-05-10,0.1211,0.25
89/A/NBP/2019,2019-05-09,0.1208,0.17
88/A/NBP/2019,2019-05-08,0.1206,0.5
87/A/NBP/2019,2019-05-07,0.12,-0.08
86/A/NBP/2019,2019-05-06,0.1201,0.67
85/A/NBP/2019,2019-05-02,0.1193,-0.5
84/A/NBP/2019,2019-04-30,0.1199,-0.5
83/A/NBP/2019,2019-04-29,0.1205,0
