"continent"	"mdead"	"mbirth"
"Africa"	9.24509803921569	33.7137254901961
"Americas"	6.36060606060606	18.0242424242424
"Asia"	5.89130434782609	19.9021739130435
"Europe"	9.9925	10.6825
"Oceania"	6.19333333333333	22.2642857142857
