"continent"	"birthRateMean"	"deathRateMean"
"Africa"	33.7137254901961	9.24509803921569
"Americas"	18.0242424242424	6.36060606060606
"Asia"	19.9021739130435	5.89130434782609
"Europe"	10.6825	9.9925
"Oceania"	22.2642857142857	6.19333333333333
