"Year","Official","Real"
1994,0.066,0.118
1995,0.056,0.102
1996,0.056,0.098
1997,0.053,0.094
1998,0.046,0.084
1999,0.043,0.077
2000,0.04,0.071
2001,0.042,0.073
2002,0.057,0.095
2003,0.058,0.1
2004,0.057,0.099
2005,0.053,0.093
2006,0.047,0.084
2007,0.046,0.084
2008,0.05,0.092
2009,0.078,0.142
2010,0.098,0.167
2011,0.091,0.162
2012,0.083,0.152
2013,0.08,0.145
2014,0.066,0.127
2015,0.057,0.113
2016,0.049,0.099
2017,0.048,0.094
2018,0.044,0.082
2019,0.04,0.081
