2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Countries
20457,20730,20438,20386,20339,20009,20366,20334,20329,20315,20619,20885,Austria
3384,3426,3536,3528,3546,3506,4888,5005,5139,7990,8210,8570,Belgium
1844,2018,2128,2250,2272,2321,2758,2953,3163,3202,3331,3346,Bulgaria
1643,1811,1985,2088,2117,2189,57808,62026,67724,73439,83233,98341,Croatia
894,902,869,855,839,824,802,795,802,788,785,796,Cyprus
7616,7845,7705,7557,7235,7657,10057,9970,9013,9163,9168,9007,Czech Rep.
1076,1075,1058,1056,1066,1119,1109,1102,1118,1113,1136,1167,Denmark
951,984,1048,1091,1141,1158,1238,1320,1419,1417,1454,1500,Estonia
1381,1358,1349,1321,1309,1309,1427,1443,1408,1392,1368,1383,Finland
29008,28778,28667,28851,28586,28486,28480,28246,28895,30045,30047,29835,France
9444,9531,9706,34722,35162,33843,33540,33657,34522,34681,34665,35719,Greece
36199,37523,39002,40754,41953,44397,45740,46488,47689,48328,48701,50518,Spain
7154,7268,7096,7051,6954,6967,6851,9126,9214,9101,8950,8956,Netherlands
9101,8977,9430,8474,7917,7113,8098,7469,6574,3145,3145,.,Ireland
515,529,542,556,553,538,1637,1837,2062,2319,2686,2971,Lithuania
519,508,503,485,500,492,480,457,434,431,432,425,Luxembourg
393,400,491,559,628,641,632,628,644,677,759,1131,Latvia
179,166,162,165,160,157,158,170,166,178,184,203,Malta
54797,53758,53959,53179,53532,53164,52401,51652,50925,50572,50152,50032,Germany
6694,6718,6857,6992,7206,7039,9483,9775,9885,10024,10509,10681,Poland
2324,2339,2351,2299,2318,2346,2349,3357,3429,3485,4171,5100,Portugal
4710,4694,4884,5079,5222,5003,5113,6027,6191,6949,7028,7762,Romania
2043,2675,2767,2683,2591,2539,2907,2803,2687,2908,2755,2772,Slovakia
707,819,988,1000,995,997,.,.,2900,3004,3260,3699,Slovenia
4008,3976,4032,4097,4104,4143,4142,4261,4269,4184,4187,4222,Sweden
3056,2956,2924,2993,2954,2892,4071,4000,4176,4356,4436,4457,Hungary
79383,81848,86838,96086,95789,85678,86597,87079,85827,87053,84580,.,UK
134713,131049,140263,145358,150315,153723,157228,157521,158412,167697,178449,204903,Italy
