"","Year","Rate","Type"
"1",1994,6.6,"official"
"2",1995,5.6,"official"
"3",1996,5.6,"official"
"4",1997,5.3,"official"
"5",1998,4.6,"official"
"6",1999,4.3,"official"
"7",2000,4,"official"
"8",2001,4.2,"official"
"9",2002,5.7,"official"
"10",2003,5.8,"official"
"11",2004,5.7,"official"
"12",2005,5.3,"official"
"13",2006,4.7,"official"
"14",2007,4.6,"official"
"15",2008,5,"official"
"16",2009,7.8,"official"
"17",2010,9.8,"official"
"18",2011,9.1,"official"
"19",2012,8.3,"official"
"20",2013,8,"official"
"21",2014,6.6,"official"
"22",2015,5.7,"official"
"23",2016,4.9,"official"
"24",2017,4.8,"official"
"25",2018,4.4,"official"
"26",2019,4,"official"
"27",1994,11.8,"real"
"28",1995,10.2,"real"
"29",1996,9.8,"real"
"30",1997,9.4,"real"
"31",1998,8.4,"real"
"32",1999,7.7,"real"
"33",2000,7.1,"real"
"34",2001,7.3,"real"
"35",2002,9.5,"real"
"36",2003,10,"real"
"37",2004,9.9,"real"
"38",2005,9.3,"real"
"39",2006,8.4,"real"
"40",2007,8.4,"real"
"41",2008,9.2,"real"
"42",2009,14.2,"real"
"43",2010,16.7,"real"
"44",2011,16.2,"real"
"45",2012,15.2,"real"
"46",2013,14.5,"real"
"47",2014,12.7,"real"
"48",2015,11.3,"real"
"49",2016,9.9,"real"
"50",2017,9.4,"real"
"51",2018,8.2,"real"
"52",2019,8.1,"real"
